skill-name,skill-name-ch,common-in-era,need-specify?,is-multiple?,initial,description
accounting,会计,,FALSE,FALSE,5,使调查员理解会计工作的流程，通过检查账簿，调查员可以了解过去的资金的得与失，以及这些资金流通的渠道。也能发现做假账的员工，对资金的偷偷挪用，对行贿或者敲诈的款项支付，以及经济状况是否比表面陈述更好或者更差。
anthropology,人类学,,FALSE,FALSE,1,使调查员能够通过观察来辨识和理解一个人的生活方式。如果持续观察一个其他的文化一段时间，那么他可以对文化方式以及道德习惯进行简单的预测。结合心理学可以预测目标行为和信仰。
appraise,估价,,FALSE,FALSE,5,用来估计某种物品的价值，包括质量，使用的材料以及工艺。相关的，调查员可以准确地辨认出物品的年龄，评估它的历史关联性以及发现赝品。
archaeology,考古学,,FALSE,FALSE,1,允许辨别以及检定一件古董，以及用来发现赝品。使调查员获得建立以及开掘一个挖掘遗址的专业知识。推断留下遗址的生物的目的和生活方式。人类学可能对此会有帮助。考古学还有助于辨认已经消失的人类语言的书面形式。
art-and-craft,技艺,,TRUE,TRUE,5,该技能可能能使你制作/修理一样东西，或者制造一个复制品/赝品。
charm,魅惑,,FALSE,FALSE,15,魅惑允许通过许多形式来使用，包括肉体魅力、诱惑、奉承或是单纯的人格魅力。魅惑可能可以被用于迫使默认进行特定的行动。魅惑或是心理学技能可以用于对抗魅惑技能。魅惑技能可以被用于讨价还价。
climb,攀爬,,FALSE,FALSE,20,这技能允许一命角色借助或不借助绳索或登山工具进行爬树、墙以及其他垂直表面。这技能同样也包括用绳索下降，许多因素将会影响难度等级。
computer-use,计算机使用,现代,FALSE,FALSE,5,这技能允许调查员用各种不同的电脑语言进行编程。恢复或者分析隐藏的数据。解除被加了保护的系统。探索一个复杂的网络，或者发现别人的骇入、后门程序、病毒。对电脑系统的特殊操作可能会需要这个检定
credit-rating,信用评级,,FALSE,FALSE,0,衡量了调查员表现出来的富裕程度以及经济上的自信程度。如果调查员尝试用他的经济地位来达成某个目标，那么也许使用信用评级技能会比较合适。信用评级可以被用来取代app来评估第一印象。
cthulhu-mythos,克苏鲁神话,,FALSE,FALSE,0,“我认为，人的思维缺乏将已知事物联系起来的能力，这是世界上最仁慈的事来。人类居住在幽暗的海洋中一个名为无知的小岛上，这海洋浩淼无垠，蕴藏无穷秘密，但我们不应该航行过远，探究过深”——H.P.爱手艺
disguise,乔装,,FALSE,FALSE,5,使用在当调查员想要演出自己外的他人时。使用者改变了态度，习惯，以及/或声音来进行一个乔装，以另一个人或者另一类人的形象出现。戏剧化妆品可能会有所帮助，还有伪造的身份证件。
dodge,闪避,,FALSE,FALSE,DEX/2,允许调查员本能地闪避攻击，投掷过来的投掷物以及诸如此类的。闪避可以通过经验来提升，就像其他技能一样。如果一次攻击可以被看见，调查员就可以尝试避开它。无法躲避子弹，也无法孤注一掷。
drive-auto,汽车驾驶,1920，现代,FALSE,FALSE,20,任何有着这项技能的人都可以驾驶一辆汽车或者轻型卡车，进行常规的移动，并且处理机动车的一般毛病。如果调查员想要甩掉一名跟踪者或者追踪某人，则需要一个汽车驾驶检定。
electrical-repair,电气维修,1920，2000,FALSE,FALSE,10,使调查员能够修理或者改装电子设备。在现代，这技能对现代电子器件几乎做不到什么。为了维修电气设备，可能需要特殊的部件或者工具，也可用于现代的爆破作业。
electronics,电子学,2000，现代,FALSE,FALSE,1,用来发现并对电子设备的故障进行维修。允许制作简单的电子设备。这是电气维修技能的现代版本
fast-talk,话术,,FALSE,FALSE,5,话术特别限定于语言上的哄骗，欺骗以及误导。着技能的对立技能为心理学或者话术。经过一段时间的相信期后，对方会意识到自己被欺骗了。话术的效果总是暂时的。可以用于砍价。
fighting,格斗,,TRUE,TRUE,25,格斗技能指的是一名角色在近距离战斗上的技能。你可以花费一定的点数来获得任何的专业化技能。
firearms,射击,,TRUE,TRUE,20,包括了各种形式的火器，也包括了弓箭和弩。
first-aid,急救,,FALSE,FALSE,30,使用者有能力可以提供紧急的医疗处理，唤醒昏迷者。急救不能用于治疗疾病，单是只有急救技能可以拯救一名濒死的角色的生命。急救可以由多人共同实施，只需一人成功即可。
history,历史,,FALSE,FALSE,5,让一名调查员能够记住一个国家，城市，区域或者个人及其相关的重要情报。一个成功的检定可以用来帮助辨认祖先所熟悉的工具，科技或者想法，但是对当下的所知甚少。
intimidate,恐吓,,FALSE,FALSE,15,恐吓可以以许多形式使用，包括武力威慑，心理操控，以及威胁。这通常被用来使某人害怕，并迫使其进行某种特定的行为。恐吓的对抗技能为恐吓或者心理学。同样也能拿来砍价。
jump,跳跃,,FALSE,FALSE,20,如果成功，调查员可以在垂直放向上跳起或者跳下，或者从一个站立点或起步点向外跳。当从高处跌落时，一次成功的跳跃检定可以将跌落伤害减半。
language(other),外语,,TRUE,TRUE,1,当选择这项技能时，必须民却一个具体的语言，并且写在技能后面。一个人可以了解任何数量的语言。这技能代表使用者可以了解，说，读以及写一门不是他母语的语言的可能性。
language(own),母语,,TRUE,FALSE,EDU,当选择这项技能时，必须明确一门具体的语言并写在技能的后面。在婴儿时期或者童年的早期，大多数人使用单一一门语言。
throw,投掷,,FALSE,FALSE,20,当需要使用物体击中目标，或者用物品的正确部分击中目标（例如小刀或者短短柄斧的刃）时，使用投掷技能。一件有着合理平衡架构的可以藏于手中大小的物品可以被投掷至多等同于STR码的距离。
track,追踪,,FALSE,FALSE,10,使调查员可以通过土壤上的脚印，或是物体通过植被时留下的印记来追踪别人，或者是交通工具以及地球上的动物。事件的经过，雨，以及土地的种类都可能会影响追踪的难度等级。
law,法律,,FALSE,FALSE,5,代表你对法律，早期事件，法庭辩术或法院程序的了解。一个法令专家可能会获得奖励以及事务所。但是这可能需要几年的申请和一个较高的信用评级。在国外时，技能的难度等级相应上升，除非该角色花费时间学习该国的法律。
library-use,图书馆使用,,FALSE,FALSE,20,图书馆使用是一名调查员能在图书馆找到的信息，例如特定的一本书，新闻，文件或资料库，但需要数小时的连续调查。这个技能可以定位寻找一件隐藏案例或者一本稀有的书籍，但是首先需要获得阅览许可。
listen,聆听,,FALSE,FALSE,20,衡量一名调查员理解声音的能力，包括偶然听到的对话，一扇关着的门后的轻声嘀咕，以及咖啡厅里的窃窃私语。KP可以用这来决定一场即将发生的遭遇的形式。甚至此外，一个较高的聆听技能可以指一名角色有着高度的泛察觉能力。
locksmith,锁匠,,FALSE,FALSE,1,锁匠技能可以打开车门，热线的自动装置，用撬棍撬开窗户，解决中国机关箱，以及穿过常规的商用报警系统。使用者可能会修锁，制作钥匙，或者在其他的工具的帮助下打开锁。特别困难的锁可能需要一个更高的难度等级。通常来说，只要足够的时间，普通的门锁总能被打开。
mechanical-repair,机械维修,,FALSE,FALSE,10,这项技能允许调查员修理破损的机器或制造一个新的。基础的木工手艺，管道项目，制作物品同样可以。这项技能可以用来打开普通的锁，但更加专业的就不能。机械维修通常与电气维修相伴，修理一个复杂的设备通常需要同时检定两个技能。
medicine,医学,,FALSE,FALSE,1,使用者可以诊断并治疗事故创伤，疾病，毒药。提供相关药瓶的信息。用本技能进行治疗最少要花费1小时，可在造成伤害后的任意时间进行，但若未在当天进行，则难度会上升。成功的医学技能可以唤醒一名昏迷的角色。
natural-world,自然学,,FALSE,FALSE,10,指对自然环境中的植物和动物生命的研究。它可以对物种，栖息地进行辨认，并能够追踪踪迹，足迹和叫声。也允许对什么事物可能对某种特定物种来说很重要进行猜测。自然学可能准确也可能不准确。
navigate,导航,,FALSE,FALSE,10,允许使用者认清自己的路。有着更高技能的人将熟悉各种定位装置。一名角色可以用这技能来测量并对某地区进行绘图（制图学），使用工具可以降低甚至取消难度等级。若角色对某区域特别熟悉，那么在检定上可以得到奖励。
occult,神秘学,,FALSE,FALSE,5,使用者可以辨识神秘学道具，用语和概念，以及民间传统，并且可以辨认魔法书以及神秘学记号。理解特定的书籍可能会增加神秘学技能的百分比。这技能不能运用于与克苏鲁神话相关的咒术，书本以及魔法。
operate-heavy-machinery,操作重型机械,1920，现代,TRUE,FALSE,1,当驾驶以及操纵一辆坦克，挖土机或者其他巨型建造机械时需要这个技能。对于种类非常不同的机械，KP可以决定难度等级。
persuade,说服,,FALSE,FALSE,10,使用说服来通过一场论述，争辩以及讨论让目标相信一个确切的想法，概念或者信仰。说服并不一定需要涉及真实的内容。成功的说服得花费不少的时间，至少半个小时。另外说服可以被用于讨价还价。
pilot,驾驶,,TRUE,TRUE,1,这是操控飞行器或船只的技能。驾驶（飞行器）：了解并能够日益掌握下方指出的一类飞行器。着陆时，就算在最佳的状况，也必须进行驾驶投掷，失败的结果视情况而定。驾驶（船）：了解小型马达船和帆船在风中，暴风雨中，海潮中的各种行为，并可以从波浪和风的表现中读出暗礁和迫近的暴风雨。在风中，新水手连停一艘小船都是困难的。
psychoanalysis,精神分析,,FALSE,FALSE,1,这技能指广泛的感情上的治疗。精神分析可以恢复一名调查员的理智。单独的精神分析并不能加速不定时疯狂的恢复，但允许一名角色处理他人短期的恐惧症状。心理治疗专家的治疗可以在不定式疯狂期间恢复理智。
psychology,心理学,,FALSE,FALSE,10,对所有人来说都很痛用的察觉方面的的技能。允许使用者研究个人并且形成对于其他某人动机和人格的了解。在玩家的支持下，KP可能会选择进行一个心理学技能检定的暗骰，仅仅对使用这个技能的玩家声明获得的信息，真或假。
ride,骑乘,,FALSE,FALSE,5,这技能被用于驾驭马，驴子或骡子，以及获得对这些骑乘动物的基础照料知识，如何在疾驰中或困难的地形上操纵坐骑。当坐骑意外的抬起身子或失足时，骑手保持自己在坐骑上不摔落的机率等于他的骑乘技能。
science,科学,,TRUE,TRUE,1,科学专业上的理论和实践能力，拥有这个技能的人接受过一定程度的正式教育或者训练。对于知识的理解和认识受到时代的限制。你可以花费点点数来获得任何你想要的专业技能，每隔专业化技能包括了一门专业的学科。
sleight-of-hand,妙手,,FALSE,FALSE,10,允许对物体进行视觉上的遮挡，藏匿，或者掩盖，也许通过残骸，衣服或者其他的干涉或促成错觉的材料。任何种类的巨大物件应增加藏匿的难度。妙手包括偷窃，卡牌魔术，以及秘密地使用手机。
spot-hidden,侦查,,FALSE,FALSE,25,这技能允许使用者发现密门或者秘密隔间，注意到隐藏的闯入者，发现并不明显的线索，发现重新涂过漆的汽车，注意到埋伏，注意到鼓出的口袋，或者任何类似的事情。对于调查员来说，这是一个很重要的技能。
stealth,潜行,,FALSE,FALSE,20,安静的移动或者躲藏的技巧，不惊动那些可能在听或者在看的人们。与这项技能相关的能力意味着角色能够安静地移动或在伪装技巧上有所长。潜行同样也意味着角色可以长时间维持一定程度的谨慎冷静来使自己保持静止和隐匿。
survival,生存,,TRUE,TRUE,10,提供专业的如何在极端环境下生存的知识和技巧。内容包括狩猎的知识，搭建住所，关于可能遭遇的危险的知识（例如如何避开有毒的植物）等等。
swim,游泳,,FALSE,FALSE,20,有能力在水或者其他液体中漂浮以及移动。只有在遭到危险时需要进行游泳检定，或当KP认为合适的时候。当游泳的孤注一掷失败时，可能会导致生命值的损失，也可能导致人物顺着水流向下冲走，被水半淹没或者完全淹没。
beast-training,驯兽,,FALSE,FALSE,5,非常规技能，用于命令，训练驯服动物进行简单的任务的技能。这技能最常用在狗身上，但也不排除鸟、猫、猴子或是其他（由KP判定）
diving,潜水,,FALSE,FALSE,1,非常规技能，使用者接受过深海游泳，以及维持潜水设备的训练，水下导航，合适的下潜配重，以及应对紧急情况的方法。
demolitions,爆破,,FALSE,FALSE,1,非常规技能，调查员可以使用此技能安全的设置/拆除爆破装置。给予足够的时间和资源，调查员可以装设炸药来摧毁移动建筑，清除一个被堵住的隧道，以及赋予炸药不同的用处。
read-lips,读唇,,FALSE,FALSE,1,非常规技能，这个技能允许好奇的探索者不需要听到说话者的声音，就能知道他们的对话内容。必须保持视线，如果只看到一个说话者的嘴唇，对话的另一半就无从知晓。读唇也可以用于与另一个人进行安静的沟通（如果两人都拥有此技能），允许相对简单的语义传达。
hypnosis,催眠,,FALSE,FALSE,1,非常规技能，调查员可以在一名自愿并经过高度暗示，放松的目标身上引出出神似的状态，并且可能回忆起忘却的记忆。对那些遭受了精神创伤的人来说，者技能可以当作催眠疗法来使用，减轻病人的恐惧或者狂躁。
artillery,炮术,,FALSE,FALSE,1,非常规技能，这技能呈现出对一些形式的军事训练和精力。使用者具有在战争中操作战地武器的经验。这些武器通常过于巨大以至于无法单人操作，并且个人无法在没有工作队支援的情况下使用武器，或者应当提高难度等级。
